station,latitude,longitude
Brzeg Dolny,51.2668902,16.7249974
Łososiowice,51.2970738,16.6750767
Wołów,51.3335371,16.6332638
Głogów,51.6696063,16.0798664
Krzepów,51.6452175,16.1330313
Grębocice,51.5933575,16.1850327
Rudna Gwizdanów,51.5293314,16.2808668
Rudna Miasto,51.506068,16.2701003
Chełmek Wołowski,51.4560519,16.359486
Ścinawa,51.4092099,16.4214143
Małowice Wołowskie,51.4044231,16.4714106
Orzeszków,51.3938906,16.50824
Gdynia Orłowo,54.4767606,18.5487251
Gdańsk Lipce,54.3023198,18.6354919
Cieplewo,54.2336094,18.6475876
Różyny,54.2114895,18.6621988
Skowarcz,54.1850526,18.6824389
Miłobądz,54.1471244,18.740522
Czarlin,54.0481577,18.7668156
Subkowy,53.9861304,18.7535814
Pelplin,53.9272397,18.7079142
Kulice Tczewskie,53.8795091,18.6904982
Morzeszczyn,53.836734,18.6862241
Majewo,53.8016662,18.679609
Smętowo,53.747959,18.6858934
Siechnice,51.0382566,17.1425417
Zakrzów Kotowice,51.0356657,17.2097717
Czernica Wrocławska,51.0496877,17.2358128
Jelcz Miłoszyce,51.0446756,17.3054061
Jelcz-Laskowice,51.037022,17.3454105
Kopalina,49.8719891,21.8577616
Minkowice Oławskie,51.0118022,17.4570716
Biskupice Oławskie,50.9939882,17.5155391
Wrocław Wojnów,51.1035553,17.157708
Wrocław Swojczyce,51.1157199,17.1214814
Wrocław Kowale,51.1347343,17.1003253
Gdynia Chylonia,54.5457503,18.4636617
Rzeszów Główny,50.0429801,22.0058584
Rzeszów Załęże,50.0585326,22.0693278
Strażów,50.0674241,22.1145204
Krzemienica,50.482026,16.5720583
Łańcut,50.0817497,22.226396
Głuchów,50.6652921,20.9029816
Kosina,50.0835701,22.3228456
Rogóżno k/Łańcuta,50.0835725,22.362513
Grzęska,50.0800374,22.452564
Przeworsk,50.0671607,22.5032323
Pełkinie,50.0477476,22.6117221
Jarosław,50.0104958,22.678605
Munina,49.9903288,22.7185464
Ostrowiecko,52.3838454,15.1684962724739
Radymno,49.939721,22.8283212
Sośnica Jarosławska,49.9015592,22.8515087
Niziny,53.68061,19.78664
Walawa,49.8595235,22.8554249
Żurawica Rozrządowa,49.8324018,22.83728
Żurawica,49.828734,22.8360486
Przemyśl Zasanie,49.7934749,22.7737284
Przemyśl Główny,49.7837223,22.7778447
Piaseczno,52.0747377,21.0270885
Zalesie Górne,52.0267838,21.0415516
Czachówek Południowy,51.95863,21.0813709
Chynów,51.9022161,21.1008041
Warka,51.793082,21.1694472
Dobieszyn,51.6308183,21.1765231
Radom,51.3909217,21.1553821
Wrocław Popowice,51.1273608,17.0014394
Wrocław Różanka,51.1379273,17.0037009
Wrocław Osobowice,51.1670184,16.9966652
Wrocław Świniary,51.1979443,16.9698725
Szewce,51.2147033,16.9553425
Pęgów,51.2471851,16.9271182
Oborniki Śląskie,51.2996135,16.907326
Osola,51.3383564,16.8656288
Skokowa,51.3870459,16.8489048
Żmigród,51.4753329,16.901885
Opole Groszowice,50.6360221,17.9553664
Opole Grotowice,50.609688,17.9760175
Przywory Opolskie,50.5816022,17.9890707
Górażdże,50.5279256,18.0036748
Gogolin,50.493165,18.0186011
Jasiona,50.4588338,18.0757785026359
Zdzieszowice,50.4217225,18.1265296
Raszowa,50.3931219,18.1557226
Kędzierzyn-Koźle,50.3450593,18.2046067
Chmielowice,50.6447826,17.8669866
Komprachcice,50.6316658,17.8211634
Szydłów,50.6060209,17.7054795
Tułowice Niemodlińskie,50.59812945,17.649464670779
Sowin,50.5554824,17.6091002
Łambinowice,50.5374739,17.5650191
Budziszowice,50.5226041,17.5327905
Jasienica Dolna,50.504169,17.5037742
Mańkowice,50.4890834,17.4764642
Kubice,50.4757774,17.4425758
Nysa,50.4776491,17.3419525
Suchy Bór Opolski,50.6572524,18.0368525
Chrząstowice,50.6605705,18.0747575
Dębska Kuźnia,50.6642957,18.1126867
Ozimek,50.6699766,18.2093158
Krasiejów,50.6683375,18.249405
Staniszcze Małe,50.6642913,18.3188287
Fosowskie,50.6605459,18.359882
Kolonowskie,50.6519246,18.3881098
Zawadzkie,50.6065834,18.4801284
Międzylesie,50.1480131,16.6669348
Roztoki Bystrzyckie,50.1876458,16.6657548
Domaszków,50.2131508,16.6552382
Długopole-Zdrój,50.2384136,16.6379329
Bystrzyca Kłodzka Przedmieście,50.2856474,16.6470179
Bystrzyca Kłodzka,50.2968844,16.654958
Gorzanów,50.3543949,16.6409172
Krosnowice Kłodzkie,50.3922109,16.6368292
Kłodzko Miasto,50.4357859,16.6586112
Kłodzko Główne,50.4513332,16.6567711
Ławica,50.4775664,16.6707495
Bardo Śląskie,50.5048571,16.7337841
Bardo Przyłęk,50.509529,16.7580075
Suszka,50.3720718,16.4200108
Kamieniec Ząbkowicki,50.5362227,16.8971943
Starczów,50.5633556,16.9467303
Ziębice,50.6085,17.0338855
Henryków,51.8653472,21.1476469
Biały Kościół,50.7283844,17.0299699
Strzelin,50.7842124,17.0602369
Warkocz,50.8293957,17.0463081
Boreczek,50.8789262,17.02458
Węgry,49.8250644,19.8028387
Żórawina,50.983502,17.049605
Smardzów Wrocławski,51.0306256,17.0661408
Lublin,51.231292,22.5689637
Lublin Północny,51.2422658,22.5995597
Świdnik Miasto,51.2237184,22.6954138
Świdnik Wschód,51.2210444,22.7143765
Minkowice,51.21698,22.765179
Podzamcze,50.8926988,20.4881613
Dominów,51.2123202,22.8435885
Jaszczów,51.2021266,22.9106044
Biskupice,51.99786,16.43196
Trawniki,51.1363715,22.9925855
Wólka Kańska,51.1284122,23.066406
Kanie,51.1246459,23.1040689
Zalesie Krasieńskie,51.1180001,23.1748333
Rejowiec,51.1176992,23.238267
Zagrody Kościół,51.0785319,23.1904113
Żulin,51.0626858,23.1721804
Krasnystaw Fabryczny,51.0244189,23.1827257
Krasnystaw Miasto,50.9850354,23.1829473
Wólka Orłowska,50.9270331,23.1834349
Izbica,50.8905686,23.1554521
Tarzymiechy,50.8545719,23.1220821
Ruskie Piaski,50.8016498,23.0955525
Złojec,50.7686127,23.100927
Zawada,50.8473518,20.786849
Mokre,52.7001411,23.1656507
Zamość,50.7170854,23.2525711
Zamość Starówka,50.7170517,23.2626481
Zamość Wschód,50.7224808,23.2759948
Ostrowiec Świętokrzyski,50.9329872,21.3796571
Boksycka,50.9501439,21.3222443
Kunów,51.0057536,21.2447039
Staw Kunowski,51.0057536,21.2447039
Brody Iłżeckie,51.0214779,21.1997762
Styków Iłżecki,51.0108939,21.1510328
Starachowice Michałów,51.0150024,21.1084629
Starachowice Wschodnie,51.0419091,21.0787913
Starachowice,51.0514407,21.0582509
Wąchock,51.0801746,21.0155671
Marcinków,51.0933365,20.9799991
Skarżysko Kościelne,51.1221462,20.9175191
Nasielsk,52.5728348,20.7679185
Ciechanów,52.883415,20.5912557
Mława,53.1261389,20.3509803
Poznań Garbary,52.4164409,16.9368434
Poznań Wschód,52.418064,16.9710818907806
Ligowiec,52.4347257,17.0354266
Kobylnica,52.4455926,17.0790948
Biskupice Wielkopolskie,52.4671107,17.1702034
Promno,52.4716466,17.2140193
Pobiedziska Letnisko,52.4743448,17.2400726
Pobiedziska,52.4791988,17.277291
Lednogóra,52.4912896,17.3663105
Fałkowo,52.4985123,17.424583
Pierzyska,52.5053327,17.4795472
Opoczno,51.3728922,20.271521
Słomianka,51.4483217,20.1915807
Szadkowice,51.419656,20.1684393
Bratków,50.7837615,21.3297533
Jeleń,53.3281969,23.0030859
Tomaszów Mazowiecki,51.5469372,20.0336231
Skrzynki,50.6755556,21.1286111
Zaosie,51.6335454,19.9335709
Wykno,51.6603913,19.9049124
Słotwiny,50.15793,20.05328
Opoczno Południe,51.3591368,20.232588
Zawiercie,50.481009,19.4231231
Dąbrowa Górnicza,50.3302375,19.1853915
Sosnowiec Główny,50.27895,19.1263859
Rybnik,50.0955793,18.5419933
Wodzisław Śląski,50.0082337,18.4763476
Chałupki,49.9251425,18.3179213
Bohumin,50.0950172,18.2196696
